Dato og tid;Inne på teknisk rom;Temp;Relativ fuktighet;Duggpunkt;Ute;Tempu;Relativfuktighetu;Duggpunktu;;
01.01.2022 02:00;;13;39;-0,6;;-0,3;97;-0,7;;
01.01.2022 04:00;;12,9;40;-0,4;;-3,2;97;-3,6;;
01.01.2022 06:00;;12,8;40;-0,5;;-4;97;-4,4;;
01.01.2022 08:00;;12,7;40;-0,5;;-3,8;98;-4,1;;
01.01.2022 10:00;;12,8;40;-0,5;;-0,7;82;-3,4;;
01.01.2022 12:00;;13;39;-0,6;;0,5;68;-4,7;;
01.01.2022 14:00;;13;39;-0,6;;1,6;59;-5,5;;
01.01.2022 16:00;;13,1;39;-0,5;;2,5;61;-4,3;;
01.01.2022 18:00;;13,2;38;-0,8;;3,2;73;-1,2;;
01.01.2022 20:00;;13,2;38;-0,8;;4;75;0;;
01.01.2022 22:00;;13,2;38;-0,8;;4,6;77;0,9;;
02.01.2022 00:00;;13,2;38;-0,8;;3,4;83;0,8;;
02.01.2022 02:00;;13,2;38;-0,8;;2,5;87;0,6;;
02.01.2022 04:00;;13,2;38;-0,8;;2,9;86;0,8;;
02.01.2022 06:00;;13,2;38;-0,8;;3,2;83;0,6;;
02.01.2022 08:00;;13,2;39;-0,4;;2,6;84;0,2;;
02.01.2022 10:00;;13,1;39;-0,5;;1,1;93;0,1;;
02.01.2022 12:00;;13,2;39;-0,4;;1,7;92;0,5;;
02.01.2022 14:00;;13,5;39;-0,2;;2,7;90;1,2;;
02.01.2022 16:00;;13,4;39;-0,3;;2;91;0,7;;
02.01.2022 18:00;;13,3;39;-0,3;;3,5;84;1,1;;
02.01.2022 20:00;;13,3;39;-0,3;;3,4;84;1;;
02.01.2022 22:00;;13,4;40;0,1;;4,1;83;1,5;;
03.01.2022 00:00;;13,4;40;0,1;;3,6;85;1,3;;
03.01.2022 02:00;;13,4;40;0,1;;2;92;0,8;;
03.01.2022 04:00;;13,4;40;0,1;;1,3;94;0,4;;
